incidence in unexposed (%),RR,p1,1-p1,odds_ex,odds_un,OR
1E-12,1.00,0.00,1.00,0.00,0.00,1.00
1E-12,1.25,0.00,1.00,0.00,0.00,1.25
1E-12,1.50,0.00,1.00,0.00,0.00,1.50
1E-12,1.75,0.00,1.00,0.00,0.00,1.75
1E-12,2.00,0.00,1.00,0.00,0.00,2.00
1E-12,2.25,0.00,1.00,0.00,0.00,2.25
1E-12,2.50,0.00,1.00,0.00,0.00,2.50
1E-12,2.75,0.00,1.00,0.00,0.00,2.75
1E-12,3.00,0.00,1.00,0.00,0.00,3.00
1E-12,3.25,0.00,1.00,0.00,0.00,3.25
1E-12,3.50,0.00,1.00,0.00,0.00,3.50
1E-12,3.75,0.00,1.00,0.00,0.00,3.75
1E-12,4.00,0.00,1.00,0.00,0.00,4.00
0.001,1.00,0.00,1.00,0.00,0.00,1.00
0.001,1.25,0.00,1.00,0.00,0.00,1.25
0.001,1.50,0.00,1.00,0.00,0.00,1.50
0.001,1.75,0.00,1.00,0.00,0.00,1.75
0.001,2.00,0.00,1.00,0.00,0.00,2.00
0.001,2.25,0.00,1.00,0.00,0.00,2.25
0.001,2.50,0.00,1.00,0.00,0.00,2.50
0.001,2.75,0.00,1.00,0.00,0.00,2.75
0.001,3.00,0.00,1.00,0.00,0.00,3.01
0.001,3.25,0.00,1.00,0.00,0.00,3.26
0.001,3.50,0.00,1.00,0.00,0.00,3.51
0.001,3.75,0.00,1.00,0.00,0.00,3.76
0.001,4.00,0.00,1.00,0.00,0.00,4.01
0.005,1.00,0.01,1.00,0.01,0.01,1.00
0.005,1.25,0.01,0.99,0.01,0.01,1.25
0.005,1.50,0.01,0.99,0.01,0.01,1.50
0.005,1.75,0.01,0.99,0.01,0.01,1.76
0.005,2.00,0.01,0.99,0.01,0.01,2.01
0.005,2.25,0.01,0.99,0.01,0.01,2.26
0.005,2.50,0.01,0.99,0.01,0.01,2.52
0.005,2.75,0.01,0.99,0.01,0.01,2.77
0.005,3.00,0.02,0.99,0.02,0.01,3.03
0.005,3.25,0.02,0.98,0.02,0.01,3.29
0.005,3.50,0.02,0.98,0.02,0.01,3.54
0.005,3.75,0.02,0.98,0.02,0.01,3.80
0.005,4.00,0.02,0.98,0.02,0.01,4.06
0.01,1.00,0.01,0.99,0.01,0.01,1.00
0.01,1.25,0.01,0.99,0.01,0.01,1.25
0.01,1.50,0.02,0.99,0.02,0.01,1.51
0.01,1.75,0.02,0.98,0.02,0.01,1.76
0.01,2.00,0.02,0.98,0.02,0.01,2.02
0.01,2.25,0.02,0.98,0.02,0.01,2.28
0.01,2.50,0.03,0.98,0.03,0.01,2.54
0.01,2.75,0.03,0.97,0.03,0.01,2.80
0.01,3.00,0.03,0.97,0.03,0.01,3.06
0.01,3.25,0.03,0.97,0.03,0.01,3.33
0.01,3.50,0.04,0.97,0.04,0.01,3.59
0.01,3.75,0.04,0.96,0.04,0.01,3.86
0.01,4.00,0.04,0.96,0.04,0.01,4.13
0.02,1.00,0.02,0.98,0.02,0.02,1.00
0.02,1.25,0.03,0.98,0.03,0.02,1.26
0.02,1.50,0.03,0.97,0.03,0.02,1.52
0.02,1.75,0.04,0.97,0.04,0.02,1.78
0.02,2.00,0.04,0.96,0.04,0.02,2.04
0.02,2.25,0.05,0.96,0.05,0.02,2.31
0.02,2.50,0.05,0.95,0.05,0.02,2.58
0.02,2.75,0.06,0.95,0.06,0.02,2.85
0.02,3.00,0.06,0.94,0.06,0.02,3.13
0.02,3.25,0.07,0.94,0.07,0.02,3.41
0.02,3.50,0.07,0.93,0.08,0.02,3.69
0.02,3.75,0.08,0.93,0.08,0.02,3.97
0.02,4.00,0.08,0.92,0.09,0.02,4.26
0.03,1.00,0.03,0.97,0.03,0.03,1.00
0.03,1.25,0.04,0.96,0.04,0.03,1.26
0.03,1.50,0.05,0.96,0.05,0.03,1.52
0.03,1.75,0.05,0.95,0.06,0.03,1.79
0.03,2.00,0.06,0.94,0.06,0.03,2.06
0.03,2.25,0.07,0.93,0.07,0.03,2.34
0.03,2.50,0.08,0.93,0.08,0.03,2.62
0.03,2.75,0.08,0.92,0.09,0.03,2.91
0.03,3.00,0.09,0.91,0.10,0.03,3.20
0.03,3.25,0.10,0.90,0.11,0.03,3.49
0.03,3.50,0.11,0.90,0.12,0.03,3.79
0.03,3.75,0.11,0.89,0.13,0.03,4.10
0.03,4.00,0.12,0.88,0.14,0.03,4.41
0.04,1.00,0.04,0.96,0.04,0.04,1.00
0.04,1.25,0.05,0.95,0.05,0.04,1.26
0.04,1.50,0.06,0.94,0.06,0.04,1.53
0.04,1.75,0.07,0.93,0.08,0.04,1.81
0.04,2.00,0.08,0.92,0.09,0.04,2.09
0.04,2.25,0.09,0.91,0.10,0.04,2.37
0.04,2.50,0.10,0.90,0.11,0.04,2.67
0.04,2.75,0.11,0.89,0.12,0.04,2.97
0.04,3.00,0.12,0.88,0.14,0.04,3.27
0.04,3.25,0.13,0.87,0.15,0.04,3.59
0.04,3.50,0.14,0.86,0.16,0.04,3.91
0.04,3.75,0.15,0.85,0.18,0.04,4.24
0.04,4.00,0.16,0.84,0.19,0.04,4.57
0.05,1.00,0.05,0.95,0.05,0.05,1.00
0.05,1.25,0.06,0.94,0.07,0.05,1.27
0.05,1.50,0.08,0.93,0.08,0.05,1.54
0.05,1.75,0.09,0.91,0.10,0.05,1.82
0.05,2.00,0.10,0.90,0.11,0.05,2.11
0.05,2.25,0.11,0.89,0.13,0.05,2.41
0.05,2.50,0.13,0.88,0.14,0.05,2.71
0.05,2.75,0.14,0.86,0.16,0.05,3.03
0.05,3.00,0.15,0.85,0.18,0.05,3.35
0.05,3.25,0.16,0.84,0.19,0.05,3.69
0.05,3.50,0.18,0.83,0.21,0.05,4.03
0.05,3.75,0.19,0.81,0.23,0.05,4.38
0.05,4.00,0.20,0.80,0.25,0.05,4.75
0.10,1.00,0.10,0.90,0.11,0.11,1.00
0.10,1.25,0.13,0.88,0.14,0.11,1.29
0.10,1.50,0.15,0.85,0.18,0.11,1.59
0.10,1.75,0.18,0.83,0.21,0.11,1.91
0.10,2.00,0.20,0.80,0.25,0.11,2.25
0.10,2.25,0.23,0.78,0.29,0.11,2.61
0.10,2.50,0.25,0.75,0.33,0.11,3.00
0.10,2.75,0.28,0.73,0.38,0.11,3.41
0.10,3.00,0.30,0.70,0.43,0.11,3.86
0.10,3.25,0.33,0.68,0.48,0.11,4.33
0.10,3.50,0.35,0.65,0.54,0.11,4.85
0.10,3.75,0.38,0.63,0.60,0.11,5.40
0.10,4.00,0.40,0.60,0.67,0.11,6.00